MOT.Q0,MOT.Q1,MOT.Q3,Label
0.827144,0.020203,-0.18866,0
0.678061,0.067078,-0.138,0
0.818398,0.07843,-0.047119,1
0.871343,-0.016907,-0.209412,0
0.756775,0.034973,-0.024414,1
0.680125,0.072327,-0.123474,0
0.469737,-0.188049,-0.14386,1
0.470376,-0.177124,-0.151123,1
0.310678,-0.566772,-0.645264,2
0.321337,-0.541748,-0.615662,2
0.323626,-0.54126,-0.615173,2
0.311762,-0.565491,-0.646057,2
0.848939,0.086182,-0.094971,1
0.6886,-0.145813,-0.296326,1
0.79507,0.05304,-0.035522,1
0.529481,-0.158081,-0.238586,1
0.846298,-0.0448,-0.221985,0
0.330453,-0.541321,-0.61261,2
0.310912,-0.56488,-0.646423,2
0.690836,-0.145447,-0.296875,1
0.717744,0.003113,-0.003906,1
0.322625,-0.542969,-0.61499,2
0.792024,0.016724,-0.206787,0
0.689601,0.054932,-0.139832,0
0.763663,0.091431,-0.240723,0
0.551218,-0.14447,-0.250671,1
0.872203,-0.024963,-0.129578,0
0.654624,-0.191833,-0.287964,1
0.311802,-0.565125,-0.645935,2
0.312735,-0.566345,-0.644104,2
0.465004,-0.199524,-0.187988,1
0.848788,0.052002,-0.134583,0
0.322315,-0.542419,-0.614746,2
0.672744,-0.041748,0.022888,1
0.328839,-0.540222,-0.614258,2
0.859204,-0.028381,-0.138977,0
0.321551,-0.542175,-0.615173,2
0.605121,-0.242493,-0.333252,1
0.698635,0.066711,-0.137451,0
0.309644,-0.565796,-0.645691,2
0.325055,-0.541809,-0.613464,2
0.649872,-0.072632,0.051331,1
0.310317,-0.565186,-0.646057,2
0.329341,-0.541382,-0.613342,2
0.323513,-0.542542,-0.614197,2
0.471752,-0.196716,-0.202942,1
0.508236,-0.257568,-0.188599,1
0.630242,-0.17926,-0.375549,1
0.312708,-0.566101,-0.644409,2
0.649182,0.081238,-0.10321,0
0.309427,-0.563782,-0.6474,2
0.331239,-0.542114,-0.61261,2
0.637964,-0.014221,-0.15271,0
0.643257,-0.10376,0.046814,1
0.323639,-0.541199,-0.615173,2
0.688417,-0.077576,-0.298462,1
0.786203,0.028137,-0.151978,0
0.708072,-0.031006,-0.098511,0
0.586511,-0.066162,-0.224915,1
0.873787,-0.007874,-0.146973,0
0.331323,-0.542725,-0.612305,2
0.655704,-0.063416,0.050232,1
0.796799,0.005737,-0.175842,0
0.8045,0.090393,-0.044739,1
0.654929,-0.010071,0.059265,1
0.745455,-0.011658,-0.147339,0
0.425314,-0.095398,-0.154419,1
0.655303,0.065674,-0.09375,0
0.676253,-0.095581,-0.29126,1
0.619986,-0.239563,-0.358948,1
0.311376,-0.565125,-0.646179,2
0.324831,-0.540649,-0.615356,2
0.579363,-0.148804,-0.262024,1
0.473015,-0.196594,-0.140015,1
0.643808,0.058167,-0.116089,0
0.648393,-0.065186,0.066895,1
0.87345,-0.047119,-0.180481,0
0.311523,-0.565002,-0.646484,2
0.32577,-0.541626,-0.613953,2
0.617898,-0.161316,-0.359802,1
0.840234,-0.028381,-0.197571,0
0.565249,-0.138367,-0.213196,1
0.654503,0.053955,-0.106445,0
0.331353,-0.542542,-0.612732,2
0.71335,0.016663,-0.129822,0
0.330455,-0.542358,-0.613098,2
0.331667,-0.542664,-0.611938,2
0.871152,-0.084412,-0.153564,0
0.672918,-0.001465,0.02771,1
0.616593,-0.182007,-0.372437,1
0.310987,-0.566467,-0.644958,2
0.536389,-0.26886,-0.223145,1
0.610691,-0.197205,-0.312195,1
0.550015,-0.201355,-0.316101,1
0.865993,-0.059082,-0.203491,0
0.310904,-0.563965,-0.647034,2
0.330366,-0.542297,-0.612732,2
0.746205,0.047119,-0.175476,0
0.631407,-0.084412,0.062439,1
0.738064,0.0495,-0.173096,0
0.324439,-0.541443,-0.613831,2
0.721006,-0.030334,-0.117676,0
0.851091,0.133484,-0.003784,1
0.705384,0.00531,-0.095581,0
0.331518,-0.542664,-0.612488,2
0.822965,-0.042114,-0.192627,0
0.701293,0.045776,-0.161316,0
0.311665,-0.565369,-0.645325,2
0.324127,-0.541504,-0.614929,2
0.310652,-0.567444,-0.644531,2
0.830976,0.009277,-0.240295,0
0.623999,-0.198608,-0.353088,1
0.311406,-0.567261,-0.644714,2
0.794269,0.012512,-0.098328,0
0.312047,-0.564941,-0.64563,2
0.312769,-0.566345,-0.644165,2
0.650407,-0.164978,-0.322205,1
0.313055,-0.566589,-0.644775,2
0.310075,-0.565674,-0.64563,2
0.332445,-0.542786,-0.611267,2
0.320486,-0.539673,-0.616516,2
0.81706,0.090881,-0.02655,1
0.45772,-0.094055,-0.228516,1
0.775629,0.045105,0.008606,1
0.322399,-0.54071,-0.615784,2
0.652444,-0.138184,-0.310608,1
0.66767,0.091064,-0.126099,0
0.714658,-0.020142,-0.139832,0
0.609733,-0.14386,-0.242798,1
0.322153,-0.542297,-0.615173,2
0.612468,-0.252197,-0.329346,1
0.777737,0.03241,-0.226074,0
0.646178,0.087036,-0.095276,0
0.321756,-0.540039,-0.616333,2
0.664026,-0.001038,-0.191467,0
0.656324,0.036804,-0.115417,0
0.331894,-0.542297,-0.612,2
0.843804,-0.022827,-0.235352,0
0.324924,-0.541565,-0.614502,2
0.558195,-0.167175,-0.251038,1
